month,carrier,carrier_name,airport,airport_name
8,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
8,AA,American Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field"
8,AA,American Airlines Inc.,GEG,"Spokane, WA: Spokane International"
8,AA,American Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International"
8,AA,American Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International"
8,AA,American Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International"
8,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International"
8,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
8,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International"
8,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston"
8,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
8,AA,American Airlines Inc.,ILM,"Wilmington, NC: Wilmington International"
8,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International"
8,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole"
8,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International"
8,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International"
8,AA,American Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
8,AA,American Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International"
8,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International"
8,AA,American Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International"
8,AA,American Airlines Inc.,LEX,"Lexington, KY: Blue Grass"
8,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia"
8,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport"
8,AA,American Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
8,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International"
8,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International"
8,AA,American Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International"
8,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International"
8,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen International"
8,AA,American Airlines Inc.,MHT,"Manchester, NH: Manchester Boston Regional"
8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International"
8,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International"
8,AA,American Airlines Inc.,MRY,"Monterey, CA: Monterey Regional"
8,AA,American Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field"
8,AA,American Airlines Inc.,MSO,"Missoula, MT: Missoula Montana"
8,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International"
8,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
8,AA,American Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional"
8,AA,American Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International"
8,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport"
8,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World"
8,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield"
8,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International"
8,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International"
8,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International"
8,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
8,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International"
8,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International"
8,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
8,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International"
8,AA,American Airlines Inc.,PNS,"Pensacola, FL: Pensacola International"
8,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International"
8,AA,American Airlines Inc.,PVD,"Providence, RI: Rhode Island Tf Green International"
8,AA,American Airlines Inc.,PWM,"Portland, ME: Portland International Jetport"
8,AA,American Airlines Inc.,RAP,"Rapid City, SD: Rapid City Regional"
8,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
8,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International"
8,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International"
8,AA,American Airlines Inc.,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International"
8,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International"
8,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International"
8,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International"
8,AA,American Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International"
8,AA,American Airlines Inc.,SBA,"Santa Barbara, CA: Santa Barbara Municipal"
8,AA,American Airlines Inc.,SBP,"San Luis Obispo, CA: San Luis County Regional"
